Дата,Площадь,Объем
2021-05-01,28,25
2021-05-29,27,24
2021-06-07,31,28
2021-05-19,30,27
2021-05-26,27,24
2021-05-27,33,30
2021-05-07,31,28
2021-06-11,30,27
2021-05-11,26,23
2021-05-10,29,26
2021-05-12,31,28
2021-05-02,24,21
2021-05-03,30,27
2021-05-04,24,21
2021-06-08,32,29
2021-06-09,31,28
2021-06-10,32,29
2021-05-15,30,27
2021-05-16,31,28
2021-05-17,34,31
2021-05-18,28,25
2021-05-28,34,31
2021-06-06,30,27
2021-05-24,28,25
2021-05-25,29,26
2021-05-05,22,19
2021-05-06,26,23
2021-05-31,27,24
2021-06-01,34,31
2021-05-23,28,25
2021-05-20,30,27
2021-05-21,31,28
2021-05-22,28,25
2021-05-30,31,28
2021-05-13,32,29
2021-06-03,32,29
2021-05-08,30,27
2021-05-09,34,31
2021-05-14,32,29
2021-06-02,32,29
2021-06-04,31,28
2021-06-05,28,25
